participant_id,age,push1,push2,pull1,pull2,training
1,41,41,45,16,17,density
2,32,35,44,9,11,density
3,44,33,38,10,11,density
4,37,46,51,20,24,density
5,37,45,52,27,30,density
6,21,41,65,11,12,density
7,33,35,43,15,17,density
8,38,31,33,20,21,density
9,49,30,28,7,8,density
10,33,51,55,18,21,density
11,35,45,54,16,18,density
12,35,35,40,20,22,density
13,35,40,43,12,14,density
14,33,46,58,7,11,density
15,31,26,33,8,12,density
16,32,51,65,22,26,density
17,28,34,41,8,11,density
18,30,36,43,13,16,density
19,NA,34,41,2,5,gtg
20,32,26,36,18,25,gtg
21,44,35,39,15,19,gtg
22,28,38,45,16,19,gtg
23,31,37,39,16,18,gtg
24,36,31,60,9,15,gtg
25,50,35,42,9,12,gtg
26,34,23,39,9,13,gtg
